  typed ident  ,typ, RA,DEC,l,b,     spec. type     ,avg
CD-60 3984     ,Em*,181.7185354,-61.27076936,297.6017372,1.138940197,B2IVe               ,2241.097751
HD 306932      ,Em*,174.8514742,-59.36825817,293.8621673,2.229117332,B3                  ,2247.914764
CPD-59 4546    ,Be*,193.4124524,-60.39546624,303.2053461,2.475109463,B2IVneHe-n          ,2264.131898
HD 55538       ,Be*,108.1894851,-15.50178885,229.128314,-2.418872498,B2Vn(e)             ,2276.0433
HD 73658       ,Em*,129.4164804,-46.28270551,264.681094,-3.128485074,B1Ib/II             ,2339.603025
HD 250289      ,Be*,90.27445681,23.33899524,186.5845273,0.148764309,B2III:e             ,2357.289085
CD-61 3799     ,Em*,202.3429835,-62.03818014,307.3628871,0.506777176,B2                  ,2363.672273
HD 72063       ,Em*,127.4071558,-34.93061235,254.6519944,2.409747512,B2(V)ne             ,2384.856081
HD 11554       ,Be*,28.80240575,57.8976374,131.3455175,-3.928596822,B1Vpe               ,2401.895547
HD 112382      ,Em*,194.2496392,-59.03352845,303.6487574,3.830481768,B4II                ,2408.367688
HD 66906       ,Em*,121.248932,-17.78715259,237.2777847,7.357059485,B5V                 ,2417.962539
HD 100943      ,Em*,174.1182148,-61.66514301,294.1604097,-0.076708455,B1Iab/b             ,2418.952266
HD 236998      ,Em*,41.47561651,59.29576903,137.0874653,-0.393178782,B5III:e             ,2433.956622
HD 173219      ,Be*,281.1389193,-7.110599591,25.81997997,-1.714984525,B0Iae               ,2442.092744
HD 94648       ,Be*,163.6113939,-59.86231978,288.7314956,-0.255934902,B2Ib/II             ,2444.6529
CD-53 6689     ,Be*,246.9533722,-53.53473797,331.7591092,-3.239047971,B2                  ,2471.154193
BD+56 493      ,Be*,34.5764751,56.85062047,134.6349806,-4.034263184,B1IV/Ve             ,2471.547552
HD 14422       ,Be*,35.46171344,57.38656771,134.9078502,-3.367892591,B1Ie                ,2474.155783
HD 306485      ,Em*,171.3817242,-60.11331718,292.4182614,0.993018215,B3                  ,2489.164007
HD 103872      ,Be*,179.3956232,-61.54975892,296.5631478,0.654253653,B5e                 ,2496.671934
HD 100856      ,Be*,173.9810801,-61.603818,294.0804002,-0.036658427,B2IVp(e)            ,2509.890588
BD+56 566      ,Be*,35.47058879,57.16637387,134.9879743,-3.573104701,B1Ve                ,2536.438724
BD+56 582      ,Be*,35.59475106,57.28472824,135.0104549,-3.438859168,B1III               ,2539.516055
