  typed ident  ,typ, RA,DEC,l,b,     spec. type     ,avg
HD 181231      ,Be*,289.9265404,-0.049856793,36.12281207,-6.309137644,B5III               ,979.3117502
HD 206135      ,Be*,324.2377259,68.18536079,106.3807593,11.81273678,B3V                 ,979.9964058
HD 103574      ,Be*,178.840264,-63.70355117,296.7689761,-1.50481354,B2V                 ,983.9884671
HD 106309      ,Be*,183.5073783,-59.39689687,298.1794641,3.129231622,B2IVne              ,984.6485952
BD+44 3511     ,Em*,308.6526293,45.36064159,83.62257781,3.000857718,B5                  ,985.6655866
HD 13590       ,Be*,33.80403628,64.02445067,131.9490608,2.629232099,B2III               ,986.9969585
HD 166566      ,Be*,272.9621229,-15.67985703,14.50584216,1.37790527,B2Ve                ,987.5044259
HD 245546      ,Be*,84.40915153,23.14745669,183.9791694,-4.573835501,B5ne                ,988.3112791
HD 166345      ,Em*,272.9097038,-32.4041926,359.7668568,-6.576214849,B3Vn(e)             ,997.5596597
HD 246338      ,Be*,85.49734104,29.52263374,179.0853071,-0.366968887,B3e                 ,999.1904698
HD 113120      ,Be*,195.7722475,-71.47573013,303.8675486,-8.62514926,B2IVne              ,999.8364798
HD 174705      ,Be*,283.0688909,-11.63259223,22.64191437,-5.458707082,B2Vne               ,1019.736671
HD 159848      ,Em*,264.6381172,-37.90901668,351.59196,-3.473893596,B3(V)nne            ,1019.943501
HD 315032      ,*  ,271.0626116,-24.39103219,6.02458425,-1.29453412,B2Vne               ,1022.848758
HD 172256      ,Be*,280.0458714,-22.66383466,11.40324982,-7.781052187,B1Ve                ,1024.726811
HD 134958      ,Be*,228.8173885,-58.1728863,320.9711707,-0.43058707,B1IIIne             ,1025.97059
HD 85567       ,Be*,147.6189063,-60.96748627,282.6797865,-5.426046969,B5Vne               ,1030.997133
HD 54086       ,Be*,106.7179365,-14.69842408,227.76033,-3.31172263,B5III               ,1032.598314
HD 293471      ,Em*,107.5652687,-2.389215155,217.2093593,3.092125417,B5                  ,1032.947767
BD+41 4366     ,Em*,331.005567,42.52488682,92.93603142,-10.38997423,B5                  ,1032.997634
HD 345122      ,Be*,298.2142532,22.23962284,59.61594007,-2.610836847,B3Ve                ,1033.327677
HD 13890       ,Be*,34.28423082,56.76975254,134.5100636,-4.163136013,B2.0III             ,1036.228144
CD-44 4357     ,Be*,125.8333787,-44.96566335,262.1392681,-4.385063816,B5                  ,1038.660044
HD 149313      ,Be*,248.9527554,-42.12290545,341.0132874,3.577531056,B2Ia/be             ,1041.971065
BD+61 310      ,Be*,25.50386938,61.79544341,128.8703773,-0.491759644,B3                  ,1043.66098
HD 39478       ,Be*,88.49936725,26.42252894,183.1092373,0.299909128,B2Vn                ,1044.969152
HD 190467      ,Be*,300.9233208,36.42559838,72.94669472,2.791666355,B5II:n              ,1044.986502
BD+46 3264     ,Em*,319.5908779,47.28315565,89.98460762,-1.493352754,B2                  ,1048.997055
HD 231745      ,Em*,293.1898339,16.41252215,52.20074929,-1.389778095,B5                  ,1050.658978
BD+47 3656     ,Em*,330.2554272,48.18401734,95.96536382,-5.562114846,B3                  ,1054.647531
BD+60 2600     ,Be*,355.0773767,61.3454971,114.5107039,-0.357861928,B2                  ,1054.995981
HD 224869      ,Em*,0.348470038,60.35547167,116.7775493,-1.916920039,B2ne                ,1056.294452
HD 54575       ,Em*,107.1976417,-15.93414808,229.0731274,-3.465508806,B5III               ,1064.313383
HD 45260       ,Be*,96.52645802,-9.397399097,218.5058982,-9.863884082,B3ne                ,1066.947717
HD 98876       ,Be*,170.4766921,-63.4871703,293.1367801,-2.3310042,B5(V)n              ,1066.996463
HD 230579      ,** ,286.03342,11.10689,44.25693,2.26305,B3ek                ,1067.436294
HD 339184      ,Em*,298.7968039,26.58300912,63.61496786,-0.830478275,B3Ve                ,1069.973092
BD+58 610      ,Em*,52.7455643,59.24432831,142.0930807,2.443193217,B2III:              ,1073.996352
HD 148259      ,Be*,247.207865,-44.812617,338.1774635,2.672390312,B2II                ,1075.970942
HD 248390      ,Em*,87.93742421,26.42762698,182.8489773,-0.130823736,B5e                 ,1077.313771
HD 59773       ,Em*,112.687456,-21.80989292,236.7027202,-1.625804307,B3V                 ,1080.263591
HD 76568       ,Be*,133.7408671,-50.8639905,270.0543623,-3.748091964,B1(V)nne            ,1081.996093
HD 144320      ,Be*,241.999086,-55.13045918,328.5744856,-2.363469951,B1Vne               ,1083.986138
HD 288805      ,Em*,98.06834375,1.174697142,209.6962978,-3.725210111,B5                  ,1084.31152
HD 38116       ,Em*,86.15726247,29.016597,179.8182878,-0.14288661,B5                  ,1087.884722
HD 72043       ,Be*,127.5852853,-10.61623345,234.4181687,16.37262692,B5Vnne              ,1088.921409
HD 239510      ,Be*,312.8504884,57.06199432,94.52918985,8.093982582,B5                  ,1089.987961
HD 121556      ,Be*,209.490715,-59.88468834,311.1930142,1.915755966,B5(V)n              ,1094.27131
HD 220116      ,Be*,350.1429496,58.2776264,111.205089,-2.510103694,B2                  ,1094.64639
HD 147756      ,Be*,246.4424803,-45.54283687,337.2762829,2.554682401,B2(V)ne             ,1095.606415
HD 142349      ,Be*,239.2815072,-57.58021635,325.8238628,-3.210472559,B5Ve                ,1098.924998
HD 152004      ,*  ,253.2775311,-47.58158377,338.8826816,-2.307352623,B3III/Vne           ,1098.952863
HD 253084      ,Em*,92.88902299,14.23887758,195.7363329,-2.1320562,B5e                 ,1100.275191
HD 152979      ,Be*,254.7366946,-46.12899493,340.6414201,-2.176936391,B2IVe               ,1100.952167
HD 52159       ,Be*,104.9276903,-11.15738709,223.8068485,-3.251739065,B3Vne               ,1105.991752
CD-26 12377    ,Em*,267.2435447,-26.89038919,2.133731298,0.425990011,B5                  ,1106.649423
HD 57910       ,Be*,110.6188415,-23.02560022,236.8671468,-3.885791803,B5V                 ,1109.973482
HD 157832      ,Be*,261.9783806,-47.02622198,342.8228123,-6.741585998,B2ne                ,1110.517165
HD 235565      ,Em*,324.4306522,51.4995329,95.17282691,-0.617454479,B2                  ,1115.660826
BD+69 48       ,Em*,12.84531654,70.16085639,122.927074,7.289106926,B5e                 ,1115.996225
HD 50737       ,Be*,103.4673668,-13.185864,224.9761161,-5.441042745,B2Vnne              ,1116.541216
HD 50083       ,Be*,102.940639,5.08440653,208.4411645,2.388002859,B3                  ,1117.973274
HD 21212       ,Be*,52.16330345,62.49299894,140.0086766,4.954770928,B2V:e               ,1117.987317
HD 45910       ,Be*,97.63723855,5.867001596,205.327289,-1.946778179,B2IIIe              ,1120.974344
HD 228941      ,Em*,304.9173702,40.88866589,78.39368325,2.625729531,B3                  ,1122.997128
HD 155851      ,Be*,258.8907089,-32.68973,353.3154934,3.32554591,B0Vne               ,1123.896773
HD 51477       ,Be*,104.2894984,-8.541963545,221.1879618,-2.623049242,B5Vne?              ,1124.606979
HD 179405      ,Be*,288.1677274,-6.458804333,29.56562699,-7.649157433,B2Vnne              ,1130.948292
BD+31 4218     ,Em*,311.7580624,32.15737841,74.62714764,-6.974009228,B2                  ,1132.326271
HD 316375      ,Em*,267.9282991,-27.96100175,1.526152552,-0.644740927,B5                  ,1133.62917
HD 148567      ,** ,247.761717,-46.479367,337.232841,1.245258,B2(II)ne            ,1138.922115
TYC 8325-5810-1,Be*,247.7617346,-46.4793683,337.2328485,1.2452484,B1IIIne             ,1138.922115
HD 153977      ,Be*,255.9313302,-24.83544444,358.1864538,10.03542019,B5II/III            ,1139.273005
HD 232971      ,Em*,67.92414319,53.8127809,151.9525099,3.8479326,B5                  ,1139.986545
HD 174571      ,Be*,282.6965619,8.702801642,40.61675686,4.099918347,B2                  ,1141.92383
HD 67924       ,Em*,122.2325703,-33.24637036,250.8424711,-0.176797605,B2III/IV            ,1142.314405
HD 156702      ,Be*,260.2108946,-38.65242624,349.0551162,-0.983358103,B1Ve                ,1143.273256
HD 13429       ,Be*,33.2521089,55.11099656,134.4910255,-5.919571462,B3V                 ,1146.971814
BD+37 1292     ,Be*,85.70994094,37.98409888,171.9744775,4.231769233,B3V:e:p:            ,1147.243974
HD 55394       ,Em*,108.0268491,-14.80070595,228.4333959,-2.234358031,B3V                 ,1147.999067
HD 101142      ,Be*,174.5212799,-45.13892102,289.5950269,15.82482804,B5III               ,1150.313814
* del Cen      ,Be*,182.0896767,-50.72241391,295.9964057,11.56830859,B2Vne               ,1155
BD+57 2376     ,Em*,325.639995,58.24422444,100.1501614,3.990377696,B5                  ,1158.660192
HD 151582      ,Em*,252.476117,-38.54460291,345.4847036,3.895191644,B3II/III(e)         ,1159.208606
HD 146531      ,Be*,244.9813151,-58.16718407,327.6644574,-5.692214511,B3Ve                ,1159.970503
BD+34 1110     ,Em*,84.11679193,34.14183931,174.551564,1.102145337,B2                  ,1160.278062
HD 150422      ,Be*,250.7810436,-46.50652274,338.6076141,-0.313967212,B1Vne               ,1168.609285
HD 85495       ,Be*,147.5611788,-58.04586628,280.7991107,-3.185472689,B4II/III            ,1168.648477
HD 166967      ,Em*,273.5341003,-25.31082827,6.30200199,-3.702507949,B2II                ,1169.771515
HD 227247      ,Em*,300.5969993,35.31142713,71.86075253,2.424956916,B1Vn                ,1170.166486
HD 165970      ,Em*,272.3163119,-19.72329688,10.66691968,-0.033888268,B5II                ,1170.975524
HD 149298      ,Be*,249.0490827,-49.26317877,335.7762021,-1.279260294,B2(II)              ,1171.972523
HD 150059      ,Em*,250.0615825,-39.46894968,343.5577151,4.72108195,B5Ib/II             ,1175.864543
HD 171757      ,Be*,279.4170445,-27.98560395,6.311319035,-9.600611583,B2nne               ,1179.248434
HD 164703      ,Em*,270.8514996,-22.30895415,7.74285557,-0.10260349,B5(IV)ne            ,1181.799934
HD 114800      ,Be*,198.5480208,-63.37373839,305.478145,-0.614536687,B2III/Vne           ,1182.312566
HD 154154      ,Be*,256.5296352,-48.41867498,339.5657364,-4.536722998,B1Vnne              ,1186.634043
HD 235683      ,Em*,329.808655,52.39724936,98.29897489,-2.038973794,B3                  ,1190.295483
HD 239703      ,Em*,323.5940693,59.47882776,100.1838752,5.615776192,B0                  ,1191.996334
HD 77032       ,Be*,134.3142181,-58.58601783,276.2193311,-8.458001058,B5Vne               ,1192.99019
BD+62 2346     ,Be*,0.352893497,63.50436467,117.3867517,1.172498904,B0V                 ,1193.295963
HD 351336      ,Em*,301.3181834,19.08811668,58.42784637,-6.72930022,B3                  ,1193.929999
CPD-24 6164    ,*iC,271.0999763,-24.35741914,6.07058086,-1.307708932,B1Ve                ,1194.248703
BD+61 623      ,Em*,55.08320536,61.84400878,141.5001763,5.223011432,B2                  ,1203.990087
HD 35345       ,Be*,81.43660038,35.64719839,172.0865982,0.09097552,B1Vpe               ,1209.217853
HD 33152       ,Be*,77.48513976,37.0044456,169.1413745,-1.726314077,B1Ve                ,1220.898841
HD 164533      ,Em*,270.580385,-19.60742927,9.969085803,1.44891343,B5II/III            ,1222.957552
HD 38708       ,Be*,87.2235392,29.13611532,180.1997575,0.715715231,B3/4Vn(e)           ,1233.548497
HD 159489      ,Be*,264.3076473,-45.15740109,345.2842528,-7.102205432,B1Ve                ,1239.174654
HD 2083        ,Em*,6.463496296,71.80712566,120.9136742,9.035701838,B1V                 ,1239.631319
HD 330950      ,Be*,248.681426,-49.55264516,335.4010522,-1.298006897,B1Ve                ,1240.245491
HD 164906      ,Be*,271.1076388,-24.38565827,6.049385594,-1.327637885,B0Ve                ,1240.906463
HD 226857      ,Em*,299.5488547,36.16407929,72.14063657,3.596571741,B3                  ,1240.989222
HD 25348       ,Be*,61.09016687,53.32904846,149.3844118,0.668854476,B1Vnnpe             ,1245.957846
HD 195407      ,Be*,307.4490157,36.98037976,76.33272703,-1.234678307,B1Ve_shell          ,1248.326206
HD 245493      ,Be*,84.46227185,33.96723308,174.8525606,1.249979827,B2III:e             ,1250.89772
HD 71934       ,Be*,126.9603443,-50.10002243,266.8060468,-6.701601553,B2(V)e              ,1251.314703
HD 94644       ,Em*,163.6741911,-54.56029415,286.4542983,4.533349931,B5III               ,1253.300237
BD+60 2493     ,Em*,347.3952836,61.46578753,111.0785699,0.96053202,B0                  ,1254.660193
HD 240018      ,Em*,339.9859992,57.32989434,105.8910993,-1.125609975,B5                  ,1254.989778
HD 114441      ,Be*,197.8730026,-55.35684241,305.8034175,7.403058167,B2Vnne              ,1259.532384
HD 227207      ,Em*,300.5013878,36.72924367,73.02497437,3.239882291,B5                  ,1261.318776
BD+44 1108     ,Em*,77.33356111,44.42103363,163.109754,2.593152897,B5                  ,1269.786394
HD 164105      ,Em*,270.1767062,-24.67712778,5.378094024,-0.734588044,B2III               ,1273.226762
HD 339483      ,Be*,301.0031115,26.27132131,64.38662474,-2.67595406,B3                  ,1284.990236
HD 288847      ,Em*,99.11611668,1.672576844,209.73372,-2.566058874,B5                  ,1293.959472
HD 116422      ,Be*,201.321887,-66.45421588,306.3096159,-3.80470986,B5(ep_sh)           ,1301.988907
HD 140843      ,Be*,237.1610889,-57.10395989,325.2402559,-2.116831841,B5III/IV            ,1302.285279
HD 239618      ,Be*,318.689512,59.76103026,98.60868478,7.560200738,B2Ve                ,1302.989099
HD 225095      ,Em*,0.863114975,55.55089844,116.1332891,-6.68615713,B2IVne              ,1303.301355
HD 50696       ,Be*,103.592293,0.181852983,213.1042278,0.735115801,B2Vnne              ,1303.736892
BD+04 4082     ,Em*,290.6981369,4.582648848,40.60820084,-4.850742245,B5                  ,1305.277206
HD 149729      ,Be*,249.8482418,-52.53594217,333.6768218,-3.841830011,B2V(n)              ,1305.379483
HD 277249      ,Em*,75.29603157,41.2616019,164.7227335,-0.507121031,B5                  ,1305.9367
HD 248753      ,Be*,88.3795922,25.74224428,183.6410723,-0.137713319,B1Vnne              ,1306.54152
HD 68570       ,Be*,122.9784064,-30.21189643,248.6460611,2.011319167,B2III               ,1311.957575
HD 344873      ,Be*,296.3026425,24.05113411,60.28822048,-0.177901134,B0II                ,1311.987165
HD 323154      ,Em*,260.7598037,-39.06462428,348.9584534,-1.569246567,B4IIe               ,1315.799251
BD+34 1113     ,Be*,84.17625686,34.20165192,174.5275871,1.175789096,B2                  ,1315.839057
HD 276738      ,Be*,71.46386257,43.99439608,160.8233099,-0.963829786,B5                  ,1317.904196
HD 165895      ,Em*,272.3229602,-24.69644621,6.315847636,-2.444713969,B5III/V             ,1319.784603
HD 166629      ,Be*,273.1602813,-27.14146089,4.527608318,-4.27735437,B5nne               ,1321.9957
HD 144555      ,Be*,242.2306114,-51.96195842,330.8137881,-0.116959948,B1Vne               ,1327.958679
HD 34921       ,HXB,80.64679676,37.67601119,170.0533694,0.710322347,B0IVpe              ,1334.840395
HD 55439       ,Be*,108.1450539,-9.84502814,224.0925915,0.16113829,B2Ve                ,1335.499911
HD 171469      ,Em*,278.9254101,-15.72281393,17.15710267,-3.714684779,B5V(e)              ,1336.910036
HD 75551       ,*  ,132.1433003,-50.37030791,269.0264618,-4.216778525,B2Vne               ,1339.320265
HD 277495      ,Em*,76.595171,41.770519,164.910738,0.574484,B5                  ,1342.562014
HD 276886      ,Em*,72.54683003,41.67719718,163.1070524,-1.851260837,B5                  ,1357.849108
HD 88263       ,Be*,152.3255685,-50.63959368,278.5150936,4.382982827,B2IIIe              ,1358.976016
BD+44 1051     ,Em*,73.95463652,44.25688306,161.762993,0.57965035,B5                  ,1361.560641
HD 257473      ,Be*,96.90062125,18.26325657,194.0054483,3.161952213,B5e                 ,1363.935894
BD+45 3377     ,Em*,315.7335016,46.27421741,87.44427058,-0.251475301,B5                  ,1363.989219
HD 117111      ,Be*,202.4773723,-65.50199613,306.9097694,-2.927807558,B2(V)ne             ,1365.283338
HD 155873      ,Em*,259.0432782,-42.79292487,345.1565752,-2.639653647,B0Ib                ,1369.596638
HD 15450       ,Be*,37.83139425,56.89782899,136.2855659,-3.361585866,B1IIIe              ,1369.616373
HD 239758      ,Be*,326.1417208,59.05714966,100.8802636,4.436249353,B2III:nn            ,1369.989466
HD 322282      ,Em*,253.6209606,-40.68815429,344.3850834,1.854041828,B0                  ,1378.948447
HD 63150       ,Be*,116.4797132,-36.49813289,251.1718253,-5.897083479,B1Ve                ,1386.979422
HD 289089      ,Em*,101.7706548,1.990398298,210.6640949,-0.060991765,B5                  ,1392.761064
HD 86272       ,Be*,148.7522831,-63.54134254,284.7221104,-7.09379693,B5Vn(e)             ,1393.231935
HD 322274      ,Em*,253.7022951,-40.64575616,344.4568893,1.832760715,B5                  ,1397.230523
HD 141926      ,Be*,238.5907013,-55.3289758,326.9762447,-1.23872,B2IIIn              ,1399.595333
HD 304082      ,Em*,169.8685061,-58.50576335,291.1490083,2.246293027,B5                  ,1402.981565
HD 33232       ,Be*,77.70084322,41.00289842,166.0219645,0.781111978,B2Vne               ,1404.767453
HD 44674       ,Be*,96.01621539,25.41700492,187.2593613,5.73506202,B1Vne               ,1405.115395
HD 166612      ,Em*,273.1564786,-28.23628554,3.559505083,-4.794361697,B5Ve+F0:III         ,1415.009084
HD 43703       ,Be*,94.66431739,23.00792903,188.8238373,3.52323861,B1IVp(e)            ,1420.881801
HD 139790      ,Be*,235.5825464,-49.99804774,328.8587929,4.070967792,B2(III)n            ,1420.916427
HD 48282       ,Be*,100.5539158,-10.49807891,221.2773297,-6.793151481,B3Ve                ,1422.916525
HD 100324      ,Be*,172.9611845,-68.05793585,295.5802653,-6.329550222,B2IIIne             ,1422.964495
HD 159684      ,Be*,264.3788041,-35.33306799,353.6617191,-1.923195488,B2Vne               ,1427.015256
HD 150288      ,Be*,250.5685805,-47.01564296,338.1283757,-0.539200597,B2Ve                ,1433.160914
HD 33604       ,Be*,78.30555753,40.19352922,166.9464578,0.674625118,B2V:pe              ,1441.847306
HD 148001      ,Be*,246.7794189,-43.38800454,338.9952587,3.879696014,B5II/III            ,1444.199075
CD-39 10861    ,Be*,253.870217,-39.430247,345.484496,2.495732,B3Ve                ,1444.717558
HD 316589      ,Em*,268.0781023,-30.04182245,359.8020344,-1.817715897,B5                  ,1457.201499
HD 57393       ,Be*,110.024558,-24.08551072,237.5536166,-4.861330286,B3Vnne              ,1461.918819
HD 303296      ,*iC,160.6043174,-59.15680566,287.0519871,-0.32211458,B1III               ,1462.138057
HD 71823       ,Be*,126.8673301,-47.72876251,264.8218119,-5.385075555,B3Vn                ,1463.289283
HD 67978       ,Be*,122.1731043,-42.05635795,258.2346197,-4.984851617,B2Vnn(e)            ,1463.91898
HD 259631      ,Be*,98.43090438,8.036110028,203.7666431,-0.246458301,B1Vnne              ,1466.209532
HD 194779      ,Em*,306.479488,41.3365894,79.43435928,1.915488006,B3II                ,1473.286743
HD 280814      ,Em*,79.08457991,35.3941081,171.2035064,-1.626245793,B3                  ,1476.130981
HD 111363      ,Be*,192.3645568,-60.69911777,302.6895348,2.171700522,B3III               ,1481.963433
HD 108418      ,Be*,186.941457,-64.57753835,300.3937778,-1.822510884,B5(V)n              ,1481.964398
HD 166188      ,Be*,272.5763312,-18.19482982,12.1237611,0.489887991,B3(II)e             ,1485.818837
HD 165133      ,Em*,271.3767282,-24.20358576,6.328287553,-1.452385408,B2III/IV            ,1488.856828
HD 171054      ,Be*,278.2861305,-13.91207496,18.48512547,-2.335540221,B2Ve                ,1499.377564
HD 322422      ,Be*,254.3497342,-40.36108499,344.9872363,1.626910017,B1Ve                ,1500.919509
HD 166443      ,Be*,272.851299,-20.71250121,10.04294709,-0.951079336,B1V:e               ,1512.218021
HD 236794      ,Em*,23.90145195,58.53867422,128.6818987,-3.839114031,B3                  ,1513.966465
CD-39 10855    ,Em*,253.8610809,-39.50201247,345.4241012,2.456244446,B2III               ,1516.986169
HD 224905      ,Be*,0.41097787,60.44992367,116.8260458,-1.830173854,B2                  ,1532.947114
HD 148688      ,s*b,247.9240397,-41.81714711,340.719738,4.347404675,B1Iaeqp             ,1536.363909
HD 151242      ,*  ,252.0070398,-40.3536114,343.8613994,3.013045812,B5(IIIe)            ,1542.863471
